data_set,family,image_biomarker,consensus,benchmark_value,benchmark_value_compare,tolerance,tolerance_compare,your_result,difference,check,tag
configuration A,"Co-occurrence matrix (2.5D, merged)",Inverse difference,6-9,0.605,0.605,0.003,0.003,,,,cm_inv_diff_2_5D_comb
configuration A,"Co-occurrence matrix (2.5D, merged)",Normalised inverse difference,6-9,0.966,0.966,0.001,0.001,,,,cm_inv_diff_norm_2_5D_comb
configuration A,"Co-occurrence matrix (2.5D, merged)",Inverse difference moment,6-9,0.573,0.573,0.003,0.003,,,,cm_inv_diff_mom_2_5D_comb
configuration A,"Co-occurrence matrix (2.5D, merged)",Normalised inverse difference moment,6-9,0.996,0.996,0.001,0.001,,,,cm_inv_diff_mom_norm_2_5D_comb
configuration A,"Co-occurrence matrix (2.5D, merged)",Inverse variance,6-9,0.461,0.461,0.002,0.002,,,,cm_inv_var_2_5D_comb
configuration A,"Co-occurrence matrix (2.5D, merged)",Correlation,6-9,0.84,0.84,0.003,0.003,,,,cm_corr_2_5D_comb
configuration A,"Co-occurrence matrix (2.5D, merged)",Autocorrelation,6-9,471,471,2,2,,,,cm_auto_corr_2_5D_comb
configuration A,"Co-occurrence matrix (2.5D, merged)",Cluster tendency,6-9,68.5,68.5,1.3,1.3,,,,cm_clust_tend_2_5D_comb
configuration A,"Co-occurrence matrix (2.5D, merged)",Cluster shade,6-9,-1490,-1490,30,30,,,,cm_clust_shade_2_5D_comb
configuration A,"Co-occurrence matrix (2.5D, merged)",Cluster prominence,6-9,47700,47700,700,700,,,,cm_clust_prom_2_5D_comb
configuration A,"Co-occurrence matrix (2.5D, merged)",Information correlation 1,6-9,-0.228,-0.228,0.001,0.001,,,,cm_info_corr1_2_5D_comb
configuration A,"Co-occurrence matrix (2.5D, merged)",Information correlation 2,6-9,0.88,0.88,0.001,0.001,,,,cm_info_corr2_2_5D_comb
configuration A,"Run length matrix (2D, averaged)",Short runs emphasis,6-9,0.785,0.785,0.003,0.003,,,,rlm_sre_2D_avg
configuration A,"Run length matrix (2D, averaged)",Long runs emphasis,6-9,2.91,2.91,0.03,0.03,,,,rlm_lre_2D_avg
configuration A,"Run length matrix (2D, averaged)",Low grey level run emphasis,6-9,0.0264,0.0264,0.0003,0.0003,,,,rlm_lgre_2D_avg
configuration A,"Run length matrix (2D, averaged)",High grey level run emphasis,6-9,428,428,3,3,,,,rlm_hgre_2D_avg
configuration A,"Run length matrix (2D, averaged)",Short run low grey level emphasis,6-9,0.0243,0.0243,0.0003,0.0003,,,,rlm_srlge_2D_avg
configuration A,"Run length matrix (2D, averaged)",Short run high grey level emphasis,6-9,320,320,1,1,,,,rlm_srhge_2D_avg
configuration A,"Run length matrix (2D, averaged)",Long run low grey level emphasis,6-9,0.0386,0.0386,0.0003,0.0003,,,,rlm_lrlge_2D_avg
configuration A,"Run length matrix (2D, averaged)",Long run high grey level emphasis,6-9,1410,1410,20,20,,,,rlm_lrhge_2D_avg
configuration A,"Run length matrix (2D, averaged)",Grey level non-uniformity,6-9,432,432,1,1,,,,rlm_glnu_2D_avg
configuration A,"Run length matrix (2D, averaged)",Normalised grey level non-uniformity,6-9,0.128,0.128,0.003,0.003,,,,rlm_glnu_norm_2D_avg
configuration A,"Run length matrix (2D, averaged)",Run length non-uniformity,6-9,1650,1650,10,10,,,,rlm_rlnu_2D_avg
configuration A,"Run length matrix (2D, averaged)",Normalised run length non-uniformity,6-9,0.579,0.579,0.003,0.003,,,,rlm_rlnu_norm_2D_avg
configuration A,"Run length matrix (2D, averaged)",Run percentage,6-9,0.704,0.704,0.003,0.003,,,,rlm_r_perc_2D_avg
configuration A,"Run length matrix (2D, averaged)",Grey level variance,6-9,33.7,33.7,0.6,0.6,,,,rlm_gl_var_2D_avg
configuration A,"Run length matrix (2D, averaged)",Run length variance,6-9,0.828,0.828,0.008,0.008,,,,rlm_rl_var_2D_avg
configuration A,"Run length matrix (2D, averaged)",Run entropy,6-9,4.73,4.73,0.02,0.02,,,,rlm_rl_entr_2D_avg
configuration A,"Run length matrix (2D, slice-merged)",Short runs emphasis,6-9,0.786,0.786,0.003,0.003,,,,rlm_sre_2D_comb
configuration A,"Run length matrix (2D, slice-merged)",Long runs emphasis,6-9,2.89,2.89,0.03,0.03,,,,rlm_lre_2D_comb
configuration A,"Run length matrix (2D, slice-merged)",Low grey level run emphasis,6-9,0.0264,0.0264,0.0003,0.0003,,,,rlm_lgre_2D_comb
configuration A,"Run length matrix (2D, slice-merged)",High grey level run emphasis,6-9,428,428,3,3,,,,rlm_hgre_2D_comb
configuration A,"Run length matrix (2D, slice-merged)",Short run low grey level emphasis,6-9,0.0243,0.0243,0.0003,0.0003,,,,rlm_srlge_2D_comb
configuration A,"Run length matrix (2D, slice-merged)",Short run high grey level emphasis,6-9,320,320,1,1,,,,rlm_srhge_2D_comb
configuration A,"Run length matrix (2D, slice-merged)",Long run low grey level emphasis,6-9,0.0385,0.0385,0.0003,0.0003,,,,rlm_lrlge_2D_comb
configuration A,"Run length matrix (2D, slice-merged)",Long run high grey level emphasis,6-9,1400,1400,20,20,,,,rlm_lrhge_2D_comb
configuration A,"Run length matrix (2D, slice-merged)",Grey level non-uniformity,6-9,1730,1730,10,10,,,,rlm_glnu_2D_comb
configuration A,"Run length matrix (2D, slice-merged)",Normalised grey level non-uniformity,6-9,0.128,0.128,0.003,0.003,,,,rlm_glnu_norm_2D_comb
configuration A,"Run length matrix (2D, slice-merged)",Run length non-uniformity,6-9,6600,6600,30,30,,,,rlm_rlnu_2D_comb
configuration A,"Run length matrix (2D, slice-merged)",Normalised run length non-uniformity,6-9,0.579,0.579,0.003,0.003,,,,rlm_rlnu_norm_2D_comb
configuration A,"Run length matrix (2D, slice-merged)",Run percentage,6-9,0.704,0.704,0.003,0.003,,,,rlm_r_perc_2D_comb
configuration A,"Run length matrix (2D, slice-merged)",Grey level variance,6-9,33.7,33.7,0.6,0.6,,,,rlm_gl_var_2D_comb
configuration A,"Run length matrix (2D, slice-merged)",Run length variance,6-9,0.826,0.826,0.008,0.008,,,,rlm_rl_var_2D_comb
configuration A,"Run length matrix (2D, slice-merged)",Run entropy,6-9,4.76,4.76,0.02,0.02,,,,rlm_rl_entr_2D_comb
configuration A,"Run length matrix (2.5D, direction-merged)",Short runs emphasis,6-9,0.768,0.768,0.003,0.003,,,,rlm_sre_2_5D_avg
configuration A,"Run length matrix (2.5D, direction-merged)",Long runs emphasis,6-9,3.09,3.09,0.03,0.03,,,,rlm_lre_2_5D_avg
configuration A,"Run length matrix (2.5D, direction-merged)",Low grey level run emphasis,6-9,0.0148,0.0148,0.0004,0.0004,,,,rlm_lgre_2_5D_avg
configuration A,"Run length matrix (2.5D, direction-merged)",High grey level run emphasis,6-9,449,449,3,3,,,,rlm_hgre_2_5D_avg
configuration A,"Run length matrix (2.5D, direction-merged)",Short run low grey level emphasis,6-9,0.0135,0.0135,0.0004,0.0004,,,,rlm_srlge_2_5D_avg
configuration A,"Run length matrix (2.5D, direction-merged)",Short run high grey level emphasis,6-9,332,332,1,1,,,,rlm_srhge_2_5D_avg
configuration A,"Run length matrix (2.5D, direction-merged)",Long run low grey level emphasis,6-9,0.0229,0.0229,0.0004,0.0004,,,,rlm_lrlge_2_5D_avg
configuration A,"Run length matrix (2.5D, direction-merged)",Long run high grey level emphasis,6-9,1500,1500,20,20,,,,rlm_lrhge_2_5D_avg
configuration A,"Run length matrix (2.5D, direction-merged)",Grey level non-uniformity,6-9,9850,9850,10,10,,,,rlm_glnu_2_5D_avg
configuration A,"Run length matrix (2.5D, direction-merged)",Normalised grey level non-uniformity,6-9,0.126,0.126,0.003,0.003,,,,rlm_glnu_norm_2_5D_avg
configuration A,"Run length matrix (2.5D, direction-merged)",Run length non-uniformity,6-9,42700,42700,200,200,,,,rlm_rlnu_2_5D_avg
configuration A,"Run length matrix (2.5D, direction-merged)",Normalised run length non-uniformity,6-9,0.548,0.548,0.003,0.003,,,,rlm_rlnu_norm_2_5D_avg
configuration A,"Run length matrix (2.5D, direction-merged)",Run percentage,6-9,0.68,0.68,0.003,0.003,,,,rlm_r_perc_2_5D_avg
configuration A,"Run length matrix (2.5D, direction-merged)",Grey level variance,6-9,29.1,29.1,0.6,0.6,,,,rlm_gl_var_2_5D_avg
configuration A,"Run length matrix (2.5D, direction-merged)",Run length variance,6-9,0.916,0.916,0.011,0.011,,,,rlm_rl_var_2_5D_avg
configuration A,"Run length matrix (2.5D, direction-merged)",Run entropy,6-9,4.87,4.87,0.01,0.01,,,,rlm_rl_entr_2_5D_avg
configuration A,"Run length matrix (2.5D, merged)",Short runs emphasis,6-9,0.769,0.769,0.003,0.003,,,,rlm_sre_2_5D_comb
configuration A,"Run length matrix (2.5D, merged)",Long runs emphasis,6-9,3.08,3.08,0.03,0.03,,,,rlm_lre_2_5D_comb
configuration A,"Run length matrix (2.5D, merged)",Low grey level run emphasis,6-9,0.0147,0.0147,0.0004,0.0004,,,,rlm_lgre_2_5D_comb
configuration A,"Run length matrix (2.5D, merged)",High grey level run emphasis,6-9,449,449,3,3,,,,rlm_hgre_2_5D_comb
configuration A,"Run length matrix (2.5D, merged)",Short run low grey level emphasis,6-9,0.0135,0.0135,0.0004,0.0004,,,,rlm_srlge_2_5D_comb
configuration A,"Run length matrix (2.5D, merged)",Short run high grey level emphasis,6-9,333,333,1,1,,,,rlm_srhge_2_5D_comb
configuration A,"Run length matrix (2.5D, merged)",Long run low grey level emphasis,6-9,0.0228,0.0228,0.0004,0.0004,,,,rlm_lrlge_2_5D_comb
configuration A,"Run length matrix (2.5D, merged)",Long run high grey level emphasis,6-9,1500,1500,20,20,,,,rlm_lrhge_2_5D_comb
configuration A,"Run length matrix (2.5D, merged)",Grey level non-uniformity,6-9,39400,39400,100,100,,,,rlm_glnu_2_5D_comb
configuration A,"Run length matrix (2.5D, merged)",Normalised grey level non-uniformity,6-9,0.126,0.126,0.003,0.003,,,,rlm_glnu_norm_2_5D_comb
configuration A,"Run length matrix (2.5D, merged)",Run length non-uniformity,6-9,171000,171000,1000,1000,,,,rlm_rlnu_2_5D_comb
configuration A,"Run length matrix (2.5D, merged)",Normalised run length non-uniformity,6-9,0.548,0.548,0.003,0.003,,,,rlm_rlnu_norm_2_5D_comb
configuration A,"Run length matrix (2.5D, merged)",Run percentage,6-9,0.68,0.68,0.003,0.003,,,,rlm_r_perc_2_5D_comb
configuration A,"Run length matrix (2.5D, merged)",Grey level variance,6-9,29.1,29.1,0.6,0.6,,,,rlm_gl_var_2_5D_comb
configuration A,"Run length matrix (2.5D, merged)",Run length variance,6-9,0.914,0.914,0.011,0.011,,,,rlm_rl_var_2_5D_comb
configuration A,"Run length matrix (2.5D, merged)",Run entropy,6-9,4.87,4.87,0.01,0.01,,,,rlm_rl_entr_2_5D_comb
configuration A,Size zone matrix (2D),Small zone emphasis,6-9,0.688,0.688,0.003,0.003,,,,szm_sze_2D
configuration A,Size zone matrix (2D),Large zone emphasis,6-9,625,625,9,9,,,,szm_lze_2D
configuration A,Size zone matrix (2D),Low grey level emphasis,6-9,0.0368,0.0368,0.0005,0.0005,,,,szm_lgze_2D
configuration A,Size zone matrix (2D),High grey level emphasis,6-9,363,363,3,3,,,,szm_hgze_2D
configuration A,Size zone matrix (2D),Small zone low grey level emphasis,6-9,0.0298,0.0298,0.0005,0.0005,,,,szm_szlge_2D
configuration A,Size zone matrix (2D),Small zone high grey level emphasis,6-9,226,226,1,1,,,,szm_szhge_2D
configuration A,Size zone matrix (2D),Large zone low grey level emphasis,6-9,1.35,1.35,0.03,0.03,,,,szm_lzlge_2D
configuration A,Size zone matrix (2D),Large zone high grey level emphasis,6-9,316000,316000,5000,5000,,,,szm_lzhge_2D
configuration A,Size zone matrix (2D),Grey level non-uniformity,6-9,82.2,82.2,0.1,0.1,,,,szm_glnu_2D
configuration A,Size zone matrix (2D),Normalised grey level non-uniformity,6-9,0.0728,0.0728,0.0014,0.0014,,,,szm_glnu_norm_2D
configuration A,Size zone matrix (2D),Zone size non-uniformity,6-9,479,479,4,4,,,,szm_zsnu_2D
configuration A,Size zone matrix (2D),Normalised zone size non-uniformity,6-9,0.44,0.44,0.004,0.004,,,,szm_zsnu_norm_2D
configuration A,Size zone matrix (2D),Zone percentage,6-9,0.3,0.3,0.003,0.003,,,,szm_z_perc_2D
configuration A,Size zone matrix (2D),Grey level variance,6-9,42.7,42.7,0.7,0.7,,,,szm_gl_var_2D
configuration A,Size zone matrix (2D),Zone size variance,6-9,609,609,9,9,,,,szm_zs_var_2D
configuration A,Size zone matrix (2D),Zone size entropy,6-9,5.92,5.92,0.02,0.02,,,,szm_zs_entr_2D
configuration A,Size zone matrix (2.5D),Small zone emphasis,6-9,0.68,0.68,0.003,0.003,,,,szm_sze_2_5D
configuration A,Size zone matrix (2.5D),Large zone emphasis,6-9,675,675,8,8,,,,szm_lze_2_5D
configuration A,Size zone matrix (2.5D),Low grey level emphasis,6-9,0.0291,0.0291,0.0005,0.0005,,,,szm_lgze_2_5D
configuration A,Size zone matrix (2.5D),High grey level emphasis,6-9,370,370,3,3,,,,szm_hgze_2_5D
configuration A,Size zone matrix (2.5D),Small zone low grey level emphasis,6-9,0.0237,0.0237,0.0005,0.0005,,,,szm_szlge_2_5D
configuration A,Size zone matrix (2.5D),Small zone high grey level emphasis,6-9,229,229,1,1,,,,szm_szhge_2_5D
configuration A,Size zone matrix (2.5D),Large zone low grey level emphasis,6-9,1.44,1.44,0.02,0.02,,,,szm_lzlge_2_5D
configuration A,Size zone matrix (2.5D),Large zone high grey level emphasis,6-9,338000,338000,5000,5000,,,,szm_lzhge_2_5D
configuration A,Size zone matrix (2.5D),Grey level non-uniformity,6-9,1800,1800,10,10,,,,szm_glnu_2_5D
configuration A,Size zone matrix (2.5D),Normalised grey level non-uniformity,6-9,0.0622,0.0622,0.0007,0.0007,,,,szm_glnu_norm_2_5D
configuration A,Size zone matrix (2.5D),Zone size non-uniformity,6-9,12400,12400,100,100,,,,szm_zsnu_2_5D
configuration A,Size zone matrix (2.5D),Normalised zone size non-uniformity,6-9,0.427,0.427,0.004,0.004,,,,szm_zsnu_norm_2_5D
configuration A,Size zone matrix (2.5D),Zone percentage,6-9,0.253,0.253,0.004,0.004,,,,szm_z_perc_2_5D
configuration A,Size zone matrix (2.5D),Grey level variance,6-9,47.9,47.9,0.4,0.4,,,,szm_gl_var_2_5D
configuration A,Size zone matrix (2.5D),Zone size variance,6-9,660,660,8,8,,,,szm_zs_var_2_5D
configuration A,Size zone matrix (2.5D),Zone size entropy,6-9,6.39,6.39,0.01,0.01,,,,szm_zs_entr_2_5D
configuration A,Distance zone matrix (2D),Small distance emphasis,6-9,0.192,0.192,0.006,0.006,,,,dzm_sde_2D
configuration A,Distance zone matrix (2D),Large distance emphasis,3-5,161,161,1,1,,,,dzm_lde_2D
configuration A,Distance zone matrix (2D),Low grey level emphasis,6-9,0.0368,0.0368,0.0005,0.0005,,,,dzm_lgze_2D
configuration A,Distance zone matrix (2D),High grey level emphasis,6-9,363,363,3,3,,,,dzm_hgze_2D
configuration A,Distance zone matrix (2D),Small distance low grey level emphasis,6-9,0.00913,0.00913,0.00023,0.00023,,,,dzm_sdlge_2D
configuration A,Distance zone matrix (2D),Small distance high grey level emphasis,6-9,60.1,60.1,3.3,3.3,,,,dzm_sdhge_2D
configuration A,Distance zone matrix (2D),Large distance low grey level emphasis,3-5,2.96,2.96,0.02,0.02,,,,dzm_ldlge_2D
configuration A,Distance zone matrix (2D),Large distance high grey level emphasis,3-5,70100,70100,100,100,,,,dzm_ldhge_2D
configuration A,Distance zone matrix (2D),Grey level non-uniformity,6-9,82.2,82.2,0.1,0.1,,,,dzm_glnu_2D
configuration A,Distance zone matrix (2D),Normalised grey level non-uniformity,6-9,0.0728,0.0728,0.0014,0.0014,,,,dzm_glnu_norm_2D
configuration A,Distance zone matrix (2D),Zone distance non-uniformity,3-5,64,64,0.4,0.4,,,,dzm_zdnu_2D
configuration A,Distance zone matrix (2D),Normalised zone distance non-uniformity,6-9,0.0716,0.0716,0.0022,0.0022,,,,dzm_zdnu_norm_2D
configuration A,Distance zone matrix (2D),Zone percentage,6-9,0.3,0.3,0.003,0.003,,,,dzm_z_perc_2D
configuration A,Distance zone matrix (2D),Grey level variance,3-5,42.7,42.7,0.7,0.7,,,,dzm_gl_var_2D
configuration A,Distance zone matrix (2D),Zone distance variance,3-5,69.4,69.4,0.1,0.1,,,,dzm_zd_var_2D
configuration A,Distance zone matrix (2D),Zone distance entropy,6-9,8,8,0.04,0.04,,,,dzm_zd_entr_2D
configuration A,Distance zone matrix (2.5D),Small distance emphasis,6-9,0.168,0.168,0.005,0.005,,,,dzm_sde_2_5D
configuration A,Distance zone matrix (2.5D),Large distance emphasis,3-5,178,178,1,1,,,,dzm_lde_2_5D
configuration A,Distance zone matrix (2.5D),Low grey level emphasis,6-9,0.0291,0.0291,0.0005,0.0005,,,,dzm_lgze_2_5D
configuration A,Distance zone matrix (2.5D),High grey level emphasis,6-9,370,370,3,3,,,,dzm_hgze_2_5D
configuration A,Distance zone matrix (2.5D),Small distance low grey level emphasis,6-9,0.00788,0.00788,0.00022,0.00022,,,,dzm_sdlge_2_5D
configuration A,Distance zone matrix (2.5D),Small distance high grey level emphasis,6-9,49.5,49.5,2.8,2.8,,,,dzm_sdhge_2_5D
configuration A,Distance zone matrix (2.5D),Large distance low grey level emphasis,3-5,2.31,2.31,0.01,0.01,,,,dzm_ldlge_2_5D
configuration A,Distance zone matrix (2.5D),Large distance high grey level emphasis,3-5,79500,79500,100,100,,,,dzm_ldhge_2_5D
configuration A,Distance zone matrix (2.5D),Grey level non-uniformity,6-9,1800,1800,10,10,,,,dzm_glnu_2_5D
configuration A,Distance zone matrix (2.5D),Normalised grey level non-uniformity,6-9,0.0622,0.0622,0.0007,0.0007,,,,dzm_glnu_norm_2_5D
configuration A,Distance zone matrix (2.5D),Zone distance non-uniformity,6-9,1570,1570,10,10,,,,dzm_zdnu_2_5D
configuration A,Distance zone matrix (2.5D),Normalised zone distance non-uniformity,6-9,0.0543,0.0543,0.0014,0.0014,,,,dzm_zdnu_norm_2_5D
configuration A,Distance zone matrix (2.5D),Zone percentage,3-5,0.253,0.253,0.004,0.004,,,,dzm_z_perc_2_5D
configuration A,Distance zone matrix (2.5D),Grey level variance,6-9,47.9,47.9,0.4,0.4,,,,dzm_gl_var_2_5D
configuration A,Distance zone matrix (2.5D),Zone distance variance,3-5,78.9,78.9,0.1,0.1,,,,dzm_zd_var_2_5D
configuration A,Distance zone matrix (2.5D),Zone distance entropy,6-9,8.87,8.87,0.03,0.03,,,,dzm_zd_entr_2_5D
configuration A,Neighbourhood grey tone difference matrix (2D),Coarseness,6-9,0.00629,0.00629,0.00046,0.00046,,,,ngt_coarseness_2D
configuration A,Neighbourhood grey tone difference matrix (2D),Contrast,6-9,0.107,0.107,0.002,0.002,,,,ngt_contrast_2D
configuration A,Neighbourhood grey tone difference matrix (2D),Busyness,6-9,0.489,0.489,0.001,0.001,,,,ngt_busyness_2D
configuration A,Neighbourhood grey tone difference matrix (2D),Complexity,6-9,438,438,9,9,,,,ngt_complexity_2D
configuration A,Neighbourhood grey tone difference matrix (2D),Strength,6-9,3.33,3.33,0.08,0.08,,,,ngt_strength_2D
configuration A,Neighbourhood grey tone difference matrix (2.5D),Coarseness,6-9,0.0000906,0.0000906,0.0000033,0.0000033,,,,ngt_coarseness_2_5D
configuration A,Neighbourhood grey tone difference matrix (2.5D),Contrast,6-9,0.0345,0.0345,0.0009,0.0009,,,,ngt_contrast_2_5D
configuration A,Neighbourhood grey tone difference matrix (2.5D),Busyness,6-9,8.84,8.84,0.01,0.01,,,,ngt_busyness_2_5D
configuration A,Neighbourhood grey tone difference matrix (2.5D),Complexity,6-9,580,580,19,19,,,,ngt_complexity_2_5D
configuration A,Neighbourhood grey tone difference matrix (2.5D),Strength,6-9,0.0904,0.0904,0.0027,0.0027,,,,ngt_strength_2_5D
configuration A,Neighbouring grey level dependence matrix (2D),Low dependence emphasis,6-9,0.281,0.281,0.003,0.003,,,,ngl_lde_2D
configuration A,Neighbouring grey level dependence matrix (2D),High dependence emphasis,6-9,14.8,14.8,0.1,0.1,,,,ngl_hde_2D
configuration A,Neighbouring grey level dependence matrix (2D),Low grey level count emphasis,6-9,0.0233,0.0233,0.0003,0.0003,,,,ngl_lgce_2D
configuration A,Neighbouring grey level dependence matrix (2D),High grey level count emphasis,6-9,446,446,2,2,,,,ngl_hgce_2D
configuration A,Neighbouring grey level dependence matrix (2D),Low dependence low grey level emphasis,6-9,0.0137,0.0137,0.0002,0.0002,,,,ngl_ldlge_2D
configuration A,Neighbouring grey level dependence matrix (2D),Low dependence high grey level emphasis,6-9,94.2,94.2,0.4,0.4,,,,ngl_ldhge_2D
configuration A,Neighbouring grey level dependence matrix (2D),High dependence low grey level emphasis,6-9,0.116,0.116,0.001,0.001,,,,ngl_hdlge_2D
configuration A,Neighbouring grey level dependence matrix (2D),High dependence high grey level emphasis,6-9,7540,7540,60,60,,,,ngl_hdhge_2D
configuration A,Neighbouring grey level dependence matrix (2D),Grey level non-uniformity,6-9,757,757,1,1,,,,ngl_glnu_2D
configuration A,Neighbouring grey level dependence matrix (2D),Normalised grey level non-uniformity,6-9,0.151,0.151,0.003,0.003,,,,ngl_glnu_norm_2D
configuration A,Neighbouring grey level dependence matrix (2D),Dependence count non-uniformity,6-9,709,709,2,2,,,,ngl_dcnu_2D
configuration A,Neighbouring grey level dependence matrix (2D),Normalised dependence count non-uniformity,6-9,0.175,0.175,0.001,0.001,,,,ngl_dcnu_norm_2D
configuration A,Neighbouring grey level dependence matrix (2D),Dependence count percentage,3-5,1,1,0,0,,,,ngl_dc_perc_2D
configuration A,Neighbouring grey level dependence matrix (2D),Grey level variance,6-9,31.1,31.1,0.5,0.5,,,,ngl_gl_var_2D
configuration A,Neighbouring grey level dependence matrix (2D),Dependence count variance,6-9,3.12,3.12,0.02,0.02,,,,ngl_dc_var_2D
configuration A,Neighbouring grey level dependence matrix (2D),Dependence count entropy,6-9,5.76,5.76,0.02,0.02,,,,ngl_dc_entr_2D
configuration A,Neighbouring grey level dependence matrix (2D),Dependence count energy,6-9,0.0268,0.0268,0.0004,0.0004,,,,ngl_dc_energy_2D
configuration A,Neighbouring grey level dependence matrix (2.5D),Low dependence emphasis,6-9,0.243,0.243,0.004,0.004,,,,ngl_lde_2_5D
configuration A,Neighbouring grey level dependence matrix (2.5D),High dependence emphasis,6-9,16.1,16.1,0.2,0.2,,,,ngl_hde_2_5D
configuration A,Neighbouring grey level dependence matrix (2.5D),Low grey level count emphasis,6-9,0.0115,0.0115,0.0003,0.0003,,,,ngl_lgce_2_5D
configuration A,Neighbouring grey level dependence matrix (2.5D),High grey level count emphasis,6-9,466,466,2,2,,,,ngl_hgce_2_5D
configuration A,Neighbouring grey level dependence matrix (2.5D),Low dependence low grey level emphasis,6-9,0.00664,0.00664,0.0002,0.0002,,,,ngl_ldlge_2_5D
configuration A,Neighbouring grey level dependence matrix (2.5D),Low dependence high grey level emphasis,6-9,91.9,91.9,0.5,0.5,,,,ngl_ldhge_2_5D
configuration A,Neighbouring grey level dependence matrix (2.5D),High dependence low grey level emphasis,6-9,0.0674,0.0674,0.0004,0.0004,,,,ngl_hdlge_2_5D
configuration A,Neighbouring grey level dependence matrix (2.5D),High dependence high grey level emphasis,6-9,8100,8100,60,60,,,,ngl_hdhge_2_5D
configuration A,Neighbouring grey level dependence matrix (2.5D),Grey level non-uniformity,6-9,17200,17200,100,100,,,,ngl_glnu_2_5D
configuration A,Neighbouring grey level dependence matrix (2.5D),Normalised grey level non-uniformity,6-9,0.15,0.15,0.002,0.002,,,,ngl_glnu_norm_2_5D
configuration A,Neighbouring grey level dependence matrix (2.5D),Dependence count non-uniformity,6-9,17500,17500,100,100,,,,ngl_dcnu_2_5D
configuration A,Neighbouring grey level dependence matrix (2.5D),Normalised dependence count non-uniformity,6-9,0.153,0.153,0.001,0.001,,,,ngl_dcnu_norm_2_5D
configuration A,Neighbouring grey level dependence matrix (2.5D),Dependence count percentage,3-5,1,1,0,0,,,,ngl_dc_perc_2_5D
configuration A,Neighbouring grey level dependence matrix (2.5D),Grey level variance,6-9,22.8,22.8,0.6,0.6,,,,ngl_gl_var_2_5D
configuration A,Neighbouring grey level dependence matrix (2.5D),Dependence count variance,6-9,3.37,3.37,0.01,0.01,,,,ngl_dc_var_2_5D
configuration A,Neighbouring grey level dependence matrix (2.5D),Dependence count entropy,6-9,5.93,5.93,0.02,0.02,,,,ngl_dc_entr_2_5D
configuration A,Neighbouring grey level dependence matrix (2.5D),Dependence count energy,3-5,0.0245,0.0245,0.0003,0.0003,,,,ngl_dc_energy_2_5D

